Rules_ID	Struts Jars
IC_STJR_195	struts2-portlet-plugin-2.3.20.3.jar
IC_STJR_196	struts2-rest-plugin-2.3.20.3.jar
IC_STJR_197	struts2-sitegraph-plugin-2.3.20.3.jar
IC_STJR_198	struts2-sitemesh-plugin-2.3.20.3.jar
IC_STJR_199	struts2-spring-plugin-2.3.20.3.jar
IC_STJR_200	struts2-struts1-plugin-2.3.20.3.jar
IC_STJR_201	struts2-testng-plugin-2.3.20.3.jar
IC_STJR_202	struts2-tiles-plugin-2.3.20.3.jar
IC_STJR_203	struts2-tiles3-plugin-2.3.20.3.jar
IC_STJR_204	struts2-oval-plugin-2.3.20.3.jar
IC_STJR_205	struts2-json-plugin-2.3.20.3.jar
IC_STJR_206	struts2-embeddedjsp-plugin-2.3.20.3.jar
IC_STJR_207	struts2-gxp-plugin-2.3.20.3.jar
IC_STJR_208	struts2-osgi-plugin-2.3.20.3.jar
IC_STJR_209	struts2-osgi-admin-bundle-2.3.20.3.jar
IC_STJR_210	struts2-osgi-demo-bundle-2.3.20.3.jar
IC_STJR_211	struts2-cdi-plugin-2.3.24.jar
IC_STJR_212	struts2-core-2.3.24.jar
IC_STJR_213	xwork-core-2.3.24.jar
IC_STJR_214	asm-3.3.jar
IC_STJR_215	asm-commons-3.3.jar
IC_STJR_216	asm-tree-3.3.jar
IC_STJR_217	freemarker-2.3.22.jar
IC_STJR_218	struts2-codebehind-plugin-2.3.24.jar
IC_STJR_219	struts2-convention-plugin-2.3.24.jar
IC_STJR_220	struts2-javatemplates-plugin-2.3.24.jar
IC_STJR_221	struts2-config-browser-plugin-2.3.24.jar
IC_STJR_222	struts2-dojo-plugin-2.3.24.jar
IC_STJR_223	struts2-dwr-plugin-2.3.24.jar
IC_STJR_224	struts2-jasperreports-plugin-2.3.24.jar
IC_STJR_225	struts2-jfreechart-plugin-2.3.24.jar
IC_STJR_226	struts2-jsf-plugin-2.3.24.jar
IC_STJR_227	struts2-junit-plugin-2.3.24.jar
IC_STJR_228	struts2-pell-multipart-plugin-2.3.24.jar
IC_STJR_229	struts2-plexus-plugin-2.3.24.jar
IC_STJR_230	struts2-portlet-plugin-2.3.24.jar
IC_STJR_231	struts2-rest-plugin-2.3.24.jar
IC_STJR_232	struts2-sitegraph-plugin-2.3.24.jar
IC_STJR_233	struts2-sitemesh-plugin-2.3.24.jar
IC_STJR_234	struts2-spring-plugin-2.3.24.jar
IC_STJR_235	struts2-struts1-plugin-2.3.24.jar
IC_STJR_236	struts2-testng-plugin-2.3.24.jar
IC_STJR_237	struts2-tiles-plugin-2.3.24.jar
IC_STJR_238	struts2-tiles3-plugin-2.3.24.jar
IC_STJR_239	struts2-oval-plugin-2.3.24.jar
IC_STJR_240	struts2-json-plugin-2.3.24.jar
IC_STJR_241	struts2-embeddedjsp-plugin-2.3.24.jar
IC_STJR_242	struts2-gxp-plugin-2.3.24.jar
IC_STJR_243	struts2-osgi-plugin-2.3.24.jar
IC_STJR_244	struts2-osgi-admin-bundle-2.3.24.jar
IC_STJR_245	struts2-osgi-demo-bundle-2.3.24.jar
IC_STJR_246	struts2-cdi-plugin-2.3.24.1.jar
IC_STJR_247	struts2-core-2.3.24.1.jar
IC_STJR_248	xwork-core-2.3.24.1.jar
IC_STJR_249	struts2-codebehind-plugin-2.3.24.1.jar
IC_STJR_250	struts2-convention-plugin-2.3.24.1.jar
IC_STJR_251	struts2-javatemplates-plugin-2.3.24.1.jar
IC_STJR_252	struts2-config-browser-plugin-2.3.24.1.jar
IC_STJR_253	struts2-dojo-plugin-2.3.24.1.jar
IC_STJR_254	struts2-dwr-plugin-2.3.24.1.jar
IC_STJR_255	struts2-jasperreports-plugin-2.3.24.1.jar
IC_STJR_256	struts2-jfreechart-plugin-2.3.24.1.jar
IC_STJR_257	struts2-jsf-plugin-2.3.24.1.jar
IC_STJR_258	struts2-junit-plugin-2.3.24.1.jar
IC_STJR_259	struts2-pell-multipart-plugin-2.3.24.1.jar
IC_STJR_260	struts2-plexus-plugin-2.3.24.1.jar
IC_STJR_261	struts2-portlet-plugin-2.3.24.1.jar
IC_STJR_262	struts2-rest-plugin-2.3.24.1.jar
IC_STJR_263	struts2-sitegraph-plugin-2.3.24.1.jar
IC_STJR_264	struts2-sitemesh-plugin-2.3.24.1.jar
IC_STJR_265	struts2-spring-plugin-2.3.24.1.jar
IC_STJR_266	struts2-struts1-plugin-2.3.24.1.jar
IC_STJR_267	struts2-testng-plugin-2.3.24.1.jar
IC_STJR_268	struts2-tiles-plugin-2.3.24.1.jar
IC_STJR_269	struts2-tiles3-plugin-2.3.24.1.jar
IC_STJR_270	struts2-oval-plugin-2.3.24.1.jar
IC_STJR_271	struts2-json-plugin-2.3.24.1.jar
IC_STJR_272	struts2-embeddedjsp-plugin-2.3.24.1.jar
IC_STJR_273	struts2-gxp-plugin-2.3.24.1.jar
